DATE,CAD3MTD156N
2008-06-02,3.25833
2008-06-03,3.25167
2008-06-04,3.23000
2008-06-05,3.22167
2008-06-06,3.22583
2008-06-09,3.20667
2008-06-10,3.28500
2008-06-11,3.39333
2008-06-12,3.39333
2008-06-13,3.41167
2008-06-16,3.40167
2008-06-17,3.40000
2008-06-18,3.45000
2008-06-19,3.45000
2008-06-20,3.45000
2008-06-23,3.45000
2008-06-24,3.45000
2008-06-25,3.45000
2008-06-26,3.45000
2008-06-27,3.45000
2008-06-30,3.44333
2008-07-01,3.44500
2008-07-02,3.45167
2008-07-03,3.45250
2008-07-04,3.47000
2008-07-07,3.46500
2008-07-08,3.45000
2008-07-09,3.43167
2008-07-10,3.43000
2008-07-11,3.43000
2008-07-14,3.42333
2008-07-15,3.41333
2008-07-16,3.40000
2008-07-17,3.39167
2008-07-18,3.38667
2008-07-21,3.37667
2008-07-22,3.35667
2008-07-23,3.34000
2008-07-24,3.35000
2008-07-25,3.32167
2008-07-28,3.32000
2008-07-29,3.29000
2008-07-30,3.33500
2008-07-31,3.34333
2008-08-01,3.34500
2008-08-04,3.30667
2008-08-05,3.30333
2008-08-06,3.30000
2008-08-07,3.34333
2008-08-08,3.34833
2008-08-11,3.31167
2008-08-12,3.30250
2008-08-13,3.31000
2008-08-14,3.31833
2008-08-15,3.32500
2008-08-18,3.33167
2008-08-19,3.34000
2008-08-20,3.33167
2008-08-21,3.34000
2008-08-22,3.35333
2008-08-26,3.35000
2008-08-27,3.35000
2008-08-28,3.35000
2008-08-29,3.35000
2008-09-01,3.35000
2008-09-02,3.35000
2008-09-03,3.35000
2008-09-04,3.39500
2008-09-05,3.40000
2008-09-08,3.42000
2008-09-09,3.44500
2008-09-10,3.48500
2008-09-11,3.49000
2008-09-12,3.51500
2008-09-15,3.52000
2008-09-16,3.53000
2008-09-17,3.64667
2008-09-18,3.78000
2008-09-19,3.79500
2008-09-22,3.80000
2008-09-23,3.83000
2008-09-24,4.00000
2008-09-25,4.10000
2008-09-26,4.10000
2008-09-29,4.20000
2008-09-30,4.20833
2008-10-01,4.20000
2008-10-02,4.20000
2008-10-03,4.20000
2008-10-06,4.25000
2008-10-07,4.05500
2008-10-08,4.01667
2008-10-09,3.76667
2008-10-10,3.80000
2008-10-13,3.89333
2008-10-14,4.08333
2008-10-15,4.00000
2008-10-16,3.80833
2008-10-17,3.84167
2008-10-20,3.63500
2008-10-21,3.43833
2008-10-22,3.10833
2008-10-23,3.13833
2008-10-24,3.10500
2008-10-27,3.10000
2008-10-28,3.10000
2008-10-29,3.10000
2008-10-30,3.10000
2008-10-31,3.09167
2008-11-03,3.00333
2008-11-04,3.00000
2008-11-05,3.10000
2008-11-06,3.10000
2008-11-07,3.10000
2008-11-10,3.10000
2008-11-11,3.10833
2008-11-12,3.10833
2008-11-13,3.10000
2008-11-14,3.04500
2008-11-17,3.01667
2008-11-18,3.00333
2008-11-19,3.00000
2008-11-20,3.00000
2008-11-21,2.95000
2008-11-24,2.86333
2008-11-25,2.75833
2008-11-26,2.71667
2008-11-27,2.67500
2008-11-28,2.65833
2008-12-01,2.53833
2008-12-02,2.51333
2008-12-03,2.50000
2008-12-04,2.50000
2008-12-05,2.50000
2008-12-08,2.50000
2008-12-09,2.50000
2008-12-10,2.30000
2008-12-11,2.49167
2008-12-12,2.45833
2008-12-15,2.45667
2008-12-16,2.49667
2008-12-17,2.45333
2008-12-18,2.39167
2008-12-19,2.30000
2008-12-22,2.30000
2008-12-23,2.30000
2008-12-24,2.23333
2008-12-29,2.20833
2008-12-30,2.20000
2008-12-31,2.17500
2009-01-02,2.11500
2009-01-05,2.06000
2009-01-06,1.96833
2009-01-07,1.92667
2009-01-08,1.81333
2009-01-09,1.80000
2009-01-12,1.76333
2009-01-13,1.70833
2009-01-14,1.65833
2009-01-15,1.65000
2009-01-16,1.60000
2009-01-19,1.60000
2009-01-20,1.60000
2009-01-21,1.53000
2009-01-22,1.52167
2009-01-23,1.53833
2009-01-26,1.57167
2009-01-27,1.60000
2009-01-28,1.60833
2009-01-29,1.62167
2009-01-30,1.62167
2009-02-02,1.63667
2009-02-03,1.64667
2009-02-04,1.60000
2009-02-05,1.56333
2009-02-06,1.50000
2009-02-09,1.45000
2009-02-10,1.48167
2009-02-11,1.46167
2009-02-12,1.45000
2009-02-13,1.45000
2009-02-16,1.45000
2009-02-17,1.45000
2009-02-18,1.45000
2009-02-19,1.45000
2009-02-20,1.47833
2009-02-23,1.43333
2009-02-24,1.41000
2009-02-25,1.39333
2009-02-26,1.35833
2009-02-27,1.35000
2009-03-02,1.30000
2009-03-03,1.30000
2009-03-04,1.20833
2009-03-05,1.20000
2009-03-06,1.20000
2009-03-09,1.20000
2009-03-10,1.07167
2009-03-11,1.05000
2009-03-12,1.05000
2009-03-13,1.05000
2009-03-16,1.08500
2009-03-17,1.08667
2009-03-18,1.11000
2009-03-19,1.10000
2009-03-20,1.10000
2009-03-23,1.05833
2009-03-24,1.05000
2009-03-25,1.05000
2009-03-26,1.05000
2009-03-27,1.01667
2009-03-30,1.00000
2009-03-31,1.00000
2009-04-01,1.00000
2009-04-02,1.00000
2009-04-03,1.02167
2009-04-06,1.00000
2009-04-07,1.00000
2009-04-08,1.00000
2009-04-09,1.00000
2009-04-14,1.00000
2009-04-15,1.00000
2009-04-16,1.00000
2009-04-17,1.00000
2009-04-20,1.00000
2009-04-21,1.00000
2009-04-22,0.90000
2009-04-23,0.90000
2009-04-24,0.90667
2009-04-27,0.86333
2009-04-28,0.83833
2009-04-29,0.84167
2009-04-30,0.85000
2009-05-01,0.85000
2009-05-05,0.81333
2009-05-06,0.80000
2009-05-07,0.80000
2009-05-08,0.80000
2009-05-11,0.80000
2009-05-12,0.80000
2009-05-13,0.80000
2009-05-14,0.80000
2009-05-15,0.79667
2009-05-18,0.79500
2009-05-19,0.79333
2009-05-20,0.76333
2009-05-21,0.72500
2009-05-22,0.70000
2009-05-26,0.70000
2009-05-27,0.70000
2009-05-28,0.70000
2009-05-29,0.70000
2009-06-01,0.70000
2009-06-02,0.70000
2009-06-03,0.68000
2009-06-04,0.66500
2009-06-05,0.62667
2009-06-08,0.65167
2009-06-09,0.62333
2009-06-10,0.64667
2009-06-11,0.64833
2009-06-12,0.65000
2009-06-15,0.65000
2009-06-16,0.65000
2009-06-17,0.62500
2009-06-18,0.61833
2009-06-19,0.60833
2009-06-22,0.60667
2009-06-23,0.60500
2009-06-24,0.60667
2009-06-25,0.60167
2009-06-26,0.60167
2009-06-29,0.60667
2009-06-30,0.60333
2009-07-01,0.60000
2009-07-02,0.60167
2009-07-03,0.60167
2009-07-06,0.60000
2009-07-07,0.60000
2009-07-08,0.60000
2009-07-09,0.60000
2009-07-10,0.60000
2009-07-13,0.60000
